BIDU,Baidu Inc,Yes,"4,298,580",NASDAQ,$49B (Large),0.32
BIIB,Biogen Inc,Yes,"1,315,280",NASDAQ,$28B (Mid),0.16
BILI,Bilibili Inc,Yes,"2,428,220",NASDAQ,$10B (Mid),0.73
BILL,BILL Holdings Inc,Yes,"1,995,380",NYS,$5B (Small),1.31
BJ,BJ's Wholesale Club Holdings Inc,Yes,"1,594,090",NYS,$12B (Mid),0.36
BK,Bank of New York Mellon Corp,Yes,"2,983,440",NYS,$83B (Large),1.1
BKD,Brookdale Senior Living Inc,Yes,"2,949,080",NYS,$3B (Small),0.69
BKKT,Bakkt Holdings Inc,Yes,"1,564,140",NYS,$391M (Micro),5.94
BKR,Baker Hughes Co,Yes,"6,554,900",NASDAQ,$49B (Large),0.88
BKSY,Blacksky Technology Inc,Yes,"1,404,530",NYS,$919M (Micro),2.44
BLDP,Ballard Power Systems Inc,Yes,"2,883,130",NASDAQ,$830M (Micro),1.76
BLDR,Builders FirstSource Inc,Yes,"1,709,920",NYS,$14B (Mid),1.57
BLMN,Bloomin' Brands Inc,Yes,"2,314,740",NASDAQ,$598M (Micro),1.15
BLND,Blend Labs Inc,Yes,"1,976,820",NYS,$855M (Micro),1.25
BLNK,Blink Charging Co,Yes,"4,195,980",NASDAQ,$106M (Micro),1.84
BMBL,Bumble Inc,Yes,"2,962,070",NASDAQ,$916M (Micro),1.96
BMNR,Bitmine Immersion Technologies Inc,Yes,"39,773,880",NYS,$13B (Mid),1.35
BMRN,BioMarin Pharmaceutical Inc,Yes,"1,798,910",NASDAQ,$11B (Mid),0.26
BMY,Bristol-Myers Squibb Co,Yes,"11,383,630",NYS,$114B (Large),0.3
BN,Brookfield Corp,Yes,"4,247,060",NYS,$118B (Large),1.59
BNL,Broadstone Net Lease Inc,Yes,"1,978,810",NYS,$3B (Small),1.02
BNS,Bank of Nova Scotia,Yes,"2,635,180",NYS,$89B (Large),1.1
BORR,Borr Drilling Ltd,Yes,"4,323,120",NYS,$1B (Micro),1.1
BOX,Box Inc,Yes,"2,020,040",NYS,$4B (Small),0.8
BP,BP PLC,Yes,"9,180,580",NYS,$89B (Large),0.32
BRBR,Bellring Brands Inc,Yes,"3,605,370",NYS,$3B (Small),0.63
BRKR,Bruker Corp,Yes,"1,965,930",NASDAQ,$8B (Mid),1.19
BRO,Brown & Brown Inc,Yes,"2,387,210",NYS,$28B (Mid),0.79
BROS,Dutch Bros Inc,Yes,"2,697,330",NYS,$10B (Mid),2.55
BRSL,Brightstar Lottery PLC,Yes,"1,529,650",NYS,$3B (Small),1.06
BRX,Brixmor Property Group Inc,Yes,"2,534,780",NYS,$8B (Mid),1.09
BRZE,Braze Inc,Yes,"1,562,670",NASDAQ,$3B (Small),1.07
BSX,Boston Scientific Corp,Yes,"6,653,460",NYS,$145B (Large),0.67
BSY,Bentley Systems Inc,Yes,"2,024,800",NASDAQ,$12B (Mid),1.21
BTBT,Bit Digital Inc,Yes,"33,407,550",NASDAQ,$709M (Micro),3.95
BTDR,Bitdeer Technologies Group,Yes,"3,934,470",NASDAQ,$2B (Small),2.33
BTI,British American Tobacco plc,Yes,"3,057,440",NYS,$120B (Large),0.31
BTU,Peabody Energy Corp,Yes,"2,441,700",NYS,$4B (Small),0.51
BUD,Anheuser-Busch Inbev SA,Yes,"1,477,560",NYS,$118B (Large),0.54
BVN,Compania de Minas Buenaventura SAA,Yes,"1,769,690",NYS,$8B (Mid),0.33
BW,Babcock & Wilcox Enterprises Inc,Yes,"3,510,820",NYS,$883M (Micro),1.56
BWA,Borgwarner Inc,Yes,"1,806,030",NYS,$10B (Mid),1.09
BWIN,Baldwin Insurance Group Inc,Yes,"1,107,290",NASDAQ,$4B (Small),1.34
BX,Blackstone Inc,Yes,"3,181,730",NYS,$192B (Large),1.76
BXMT,Blackstone Mortgage Trust Inc,Yes,"1,420,950",NYS,$3B (Small),1.1
BXP,BXP Inc,Yes,"1,316,620",NYS,$11B (Mid),1.03
BXSL,Blackstone Secured Lending Fund,Yes,"1,976,570",NYS,$6B (Small),0.45
BYND,Beyond Meat Inc,Yes,"63,459,570",NASDAQ,$442M (Micro),2.67
BZ,Kanzhun Ltd,Yes,"2,958,670",NASDAQ,$8B (Mid),0.42
BZAI,Blaize Holdings Inc,Yes,"1,601,060",NASDAQ,$260M (Micro),0.35
C,Citigroup Inc,Yes,"11,158,570",NYS,$217B (Large),1.16
CABA,Cabaletta Bio Inc,Yes,"1,726,780",NASDAQ,$202M (Micro),3.26
CADE,Cadence Bank,Yes,"1,765,560",NYS,$8B (Mid),0.96
CAH,Cardinal Health Inc,Yes,"1,404,790",NYS,$48B (Large),0.65
CAKE,Cheesecake Factory Inc,Yes,"1,239,550",NASDAQ,$3B (Small),1.01
CALM,Cal-Maine Foods Inc,Yes,"1,625,020",NASDAQ,$4B (Small),0.24
CAN,Canaan Inc,Yes,"14,465,770",NASDAQ,$536M (Micro),2.86
CAPR,Capricor Therapeutics Inc,Yes,"1,443,360",NASDAQ,$1B (Micro),0.37
CAPT,Captivision Inc,Yes,"2,021,820",NASDAQ,$13M (Micro),1.07
CARR,Carrier Global Corp,Yes,"5,166,600",NYS,$47B (Large),1.32
CAT,Caterpillar Inc,Yes,"2,204,460",NYS,$289B (Large),1.57
CATX,Perspective Therapeutics Inc,Yes,"1,065,120",NYS,$211M (Micro),1.75
CB,Chubb Ltd,Yes,"1,305,980",NYS,$121B (Large),0.5
CBRE,CBRE Group Inc,Yes,"1,030,520",NYS,$49B (Large),1.34
CBRL,Cracker Barrel Old Country Store Inc,Yes,"1,693,480",NASDAQ,$670M (Micro),1.29
CC,Chemours Co,Yes,"2,362,460",NYS,$2B (Small),1.63
CCC,CCC Intelligent Solutions Holdings Inc,Yes,"6,671,760",NASDAQ,$5B (Small),0.67
CCCC,C4 Therapeutics Inc,Yes,"1,154,140",NASDAQ,$207M (Micro),2.98
CCEP,Coca-Cola Europacific Partners PLC,Yes,"1,353,740",NASDAQ,$40B (Mid),0.52
CCI,Crown Castle Inc,Yes,"2,311,890",NYS,$36B (Mid),0.98
CCL,Carnival Corp,Yes,"15,702,250",NYS,$37B (Mid),2.49
CCO,Clear Channel Outdoor Holdings Inc,Yes,"1,868,440",NYS,$1B (Micro),2.31
CCOI,Cogent Communications Holdings Inc,Yes,"1,074,310",NASDAQ,$1B (Micro),0.79
CDE,Coeur Mining Inc,Yes,"19,906,740",NYS,$13B (Mid),1.22
CDLX,Cardlytics Inc,Yes,"1,120,020",NASDAQ,$73M (Micro),1.06
CDNS,Cadence Design Systems Inc,Yes,"1,607,490",NASDAQ,$89B (Large),1.01
CDP,COPT Defense Properties,Yes,"1,274,690",NYS,$3B (Small),0.88
CDW,CDW Corp,Yes,"1,271,590",NASDAQ,$17B (Mid),1.07
CDXS,Codexis Inc,Yes,"1,045,770",NASDAQ,$148M (Micro),2.47
CE,Celanese Corp,Yes,"1,718,210",NYS,$5B (Small),1.12
CEG,Constellation Energy Corp,Yes,"2,547,800",NASDAQ,$107B (Large),1.14
CELH,Celsius Holdings Inc,Yes,"4,307,370",NASDAQ,$14B (Mid),0.9
CENN,Cenntro Inc (The Corporation),Yes,"1,653,770",NASDAQ,$14M (Micro),1.72
CENX,Century Aluminum Co,Yes,"1,947,860",NASDAQ,$4B (Small),2.25
CERT,Certara Inc,Yes,"1,992,850",NASDAQ,$1B (Micro),1.48
CF,CF Industries Holdings Inc,Yes,"2,066,860",NYS,$13B (Mid),0.7
CFG,Citizens Financial Group Inc,Yes,"3,907,900",NYS,$26B (Mid),1.09
CFLT,Confluent Inc,Yes,"10,098,720",NASDAQ,$11B (Mid),0.95
CG,Carlyle Group Inc,Yes,"1,611,890",NASDAQ,$24B (Mid),2.05
CGNX,Cognex Corp,Yes,"1,333,530",NASDAQ,$7B (Small),1.54
CHD,Church & Dwight Co Inc,Yes,"1,843,870",NYS,$21B (Mid),0.46
CHGG,Chegg Inc,Yes,"1,064,430",NYS,$103M (Micro),1.99
CHRS,Coherus Oncology Inc,Yes,"1,503,360",NASDAQ,$204M (Micro),1
CHRW,CH Robinson Worldwide Inc,Yes,"1,473,100",NASDAQ,$20B (Mid),0.9
CHTR,Charter Communications Inc,Yes,"1,610,970",NASDAQ,$27B (Mid),1.05
CHWY,Chewy Inc,Yes,"6,819,090",NYS,$13B (Mid),1.59
CI,Cigna Group,Yes,"1,310,230",NYS,$75B (Large),0.28
CIEN,Ciena Corp,Yes,"2,426,060",NYS,$32B (Mid),1.13
CIFR,Cipher Mining Inc,Yes,"20,565,600",NASDAQ,$7B (Small),2.96
CIG,Energy of Minas Gerais Co,Yes,"3,649,490",NYS,$4B (Small),0.89
CIVI,Civitas Resources Inc,Yes,"1,234,130",NYS,$2B (Small),0.93
CL,Colgate-Palmolive Co,Yes,"5,627,930",NYS,$66B (Large),0.28
CLF,Cleveland-Cliffs Inc,Yes,"13,331,680",NYS,$7B (Small),1.93
CLNE,Clean Energy Fuels Corp,Yes,"1,056,000",NASDAQ,$467M (Micro),2.21
CLOV,Clover Health Investments Corp,Yes,"4,873,570",NASDAQ,$1B (Micro),2.11
CLS,Celestica Inc,Yes,"1,967,690",NYS,$35B (Mid),1.87
