"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"FOXF","Fox Factory Holding Corp","$19.31","555,980","Yes"
"FPI","Farmland Partners Inc","$11.98","610,900","Yes"
"FRMI","Fermi Inc","$10.29","6,182,940","Yes"
"FRSH","Freshworks Inc","$7.24","10,007,540","Yes"
"FSK","FS KKR Capital Corp","$13.32","3,302,910","Yes"
"FSLY","Fastly Inc","$18.26","16,090,430","Yes"
"FTK","Flotek Industries Inc","$17.29","291,300","Yes"
"FTRE","Fortrea Holdings Inc","$9.79","2,237,440","Yes"
"FULC","Fulcrum Therapeutics Inc","$10.63","494,990","Yes"
"FULT","Fulton Financial Corp","$22.03","2,075,180","Yes"
"FUN","Six Flags Entertainment Corp","$15.90","2,268,010","Yes"
"FVRR","Fiverr International Ltd","$14.34","1,559,930","Yes"
"FWRG","First Watch Restaurant Group Inc","$15.37","1,537,000","Yes"
"GBDC","Golub Capital BDC Inc","$12.63","3,425,650","Yes"
"GBTG","Global Business Travel Group Inc","$5.04","1,905,290","Yes"
"GCMG","GCM Grosvenor Inc","$12.04","789,940","Yes"
"GDOT","Green Dot Corp","$11.91","821,520","Yes"
"GDYN","Grid Dynamics Holdings Inc","$6.60","1,572,380","Yes"
"GEL","Genesis Energy LP","$17.54","319,700","Yes"
"GEMI","Gemini Space Station Inc","$7.56","1,681,750","Yes"
"GEN","Gen Digital Inc","$23.72","9,056,970","Yes"
"GENI","Genius Sports Ltd","$5.79","12,420,980","Yes"
"GEO","Geo Group Inc","$14.21","1,940,020","Yes"
"GEOS","Geospace Technologies Corp","$9.69","418,330","Yes"
"GILT","Gilat Satellite Networks Ltd","$13.77","1,538,440","Yes"
"GLAD","Gladstone Capital Corp","$18.54","250,460","Yes"
"GLDD","Great Lakes Dredge & Dock Corp","$16.89","2,440,020","Yes"
"GLUE","Monte Rosa Therapeutics Inc","$17.92","1,100,000","Yes"
"GLXY","Galaxy Digital Inc","$21.66","10,547,970","Yes"
"GME","GameStop Corp","$23.57","10,961,480","Yes"
"GNK","Genco Shipping & Trading Ltd","$22.21","360,260","Yes"
"GNL","Global Net Lease Inc","$9.85","1,817,900","Yes"
"GNTX","Gentex Corp","$24.89","3,097,370","Yes"
"GNW","Genworth Financial Inc","$8.92","3,691,460","Yes"
"GO","Grocery Outlet Holding Corp","$10.28","1,939,460","Yes"
"GOOD","Gladstone Commercial Corp","$11.67","493,880","Yes"
"GPGI","GPGI Inc","$24.63","2,172,830","Yes"
"GPK","Graphic Packaging Holding Co","$12.42","12,014,290","Yes"
"GPRE","Green Plains Inc","$13.70","2,300,170","Yes"
"GPRK","GeoPark Ltd","$8.24","874,870","Yes"
"GRFS","Grifols SA","$9.32","460,900","Yes"
"GRND","Grindr Inc","$10.08","2,105,160","Yes"
