Symbol,Description,Price,Market Capitalization,Optionable Stocks,Average Volume (10 Day),Beta
HCA,HCA Healthcare Inc,$540.29,$121B (Large),Yes,"1,175,600",1.34
HD,Home Depot Inc,$391.05,$389B (Large),Yes,"4,106,990",1.08
HEI,HEICO Corp,$332.52,$18B (Mid),Yes,"426,000",1.0
HIG,Hartford Insurance Group Inc,$141.25,$39B (Mid),Yes,"1,763,210",0.59
HII,Huntington Ingalls Industries Inc,$418.78,$16B (Mid),Yes,"712,580",0.33
HLI,Houlihan Lokey Inc,$165.84,$12B (Mid),Yes,"618,410",0.96
HLNE,Hamilton Lane Inc,$122.76,$7B (Small),Yes,"620,360",1.32
HLT,Hilton Worldwide Holdings Inc,$314.62,$72B (Large),Yes,"2,545,650",1.09
HON,Honeywell International Inc,$241.38,$153B (Large),Yes,"4,693,710",0.92
HRI,Herc Holdings Inc,$173.12,$6B (Small),Yes,"602,050",1.68
HSY,Hershey Co,$222.58,$45B (Large),Yes,"2,994,100",0.14
HUBB,Hubbell Inc,$524.12,$28B (Mid),Yes,"811,250",0.99
HUBS,HubSpot Inc,$243.85,$13B (Mid),Yes,"3,153,630",1.42
HUM,Humana Inc,$184.10,$22B (Mid),Yes,"3,093,180",0.45
HURN,Huron Consulting Group Inc,$125.36,$2B (Small),Yes,"529,420",0.16
HWM,Howmet Aerospace Inc,$250.21,$100B (Large),Yes,"3,334,310",1.2
IBM,International Business Machines Corp,$262.38,$245B (Large),Yes,"6,953,430",0.72
IBP,Installed Building Products Inc,$344.19,$9B (Mid),Yes,"365,540",1.89
ICE,Intercontinental Exchange Inc,$152.28,$86B (Large),Yes,"6,164,190",1.06
ICUI,ICU Medical Inc,$144.90,$4B (Small),Yes,"265,810",0.8
IDA,Idacorp Inc,$144.26,$8B (Mid),Yes,"523,400",0.58
IDCC,InterDigital Inc,$375.01,$10B (Mid),Yes,"357,630",1.55
IDXX,IDEXX Laboratories Inc,$629.35,$50B (Large),Yes,"612,060",1.67
IEX,IDEX Corp,$210.41,$16B (Mid),Yes,"1,396,970",0.96
ILMN,Illumina Inc,$116.81,$18B (Mid),Yes,"2,712,070",1.49
IMO,Imperial Oil Ltd,$119.76,$58B (Large),Yes,"712,680",0.65
INCY,Incyte Corp,$101.10,$20B (Mid),Yes,"2,174,350",0.84
INGR,Ingredion Inc,$118.31,$7B (Small),Yes,"969,680",0.68
INSM,Insmed Inc,$148.75,$32B (Mid),Yes,"2,211,010",1.13
INTU,Intuit Inc,$399.40,$111B (Large),Yes,"5,049,330",1.28
IPGP,IPG Photonics Corp,$153.91,$6B (Small),Yes,"932,350",0.87
IQV,IQVIA Holdings Inc,$166.94,$28B (Mid),Yes,"3,857,250",1.42
IRM,Iron Mountain Inc,$109.83,$32B (Mid),Yes,"2,598,140",1.13
IRTC,Irhythm Technologies Inc,$144.21,$5B (Small),Yes,"674,830",1.09
ISRG,Intuitive Surgical Inc,$485.84,$173B (Large),Yes,"2,567,510",1.67
IT,Gartner Inc,$158.58,$11B (Mid),Yes,"2,952,150",1.09
ITT,ITT Inc,$203.11,$17B (Mid),Yes,"1,376,810",1.33
ITW,Illinois Tool Works Inc,$299.60,$87B (Large),Yes,"2,125,560",1.12
J,Jacobs Solutions Inc,$132.79,$16B (Mid),Yes,"1,391,970",0.79
JAZZ,Jazz Pharmaceuticals PLC,$166.31,$10B (Mid),Yes,"671,010",0.25
JBHT,J B Hunt Transport Services Inc,$221.76,$21B (Mid),Yes,"1,488,930",1.24
JBL,Jabil Inc,$254.58,$27B (Mid),Yes,"1,044,700",1.22
