"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"COLD","Americold Realty Trust Inc","$12.36","Yes","0.91","$4B (Small)","4,739,880"
"COLM","Columbia Sportswear Co","$63.29","Yes","0.84","$3B (Small)","1,334,920"
"COMP","Compass Inc","$10.41","Yes","2.57","$8B (Small)","22,950,020"
"COO","Cooper Companies Inc","$82.99","Yes","1.02","$16B (Mid)","1,779,950"
"CORT","Corcept Therapeutics Inc","$38.34","Yes","0.28","$4B (Small)","1,648,620"
"CPNG","Coupang Inc","$16.98","Yes","1.22","$31B (Mid)","29,602,240"
"CPRI","Capri Holdings Ltd","$20.42","Yes","1.45","$2B (Small)","5,074,400"
"CPRT","Copart Inc","$37.49","Yes","1.10","$36B (Mid)","8,877,920"
"CPRX","Catalyst Pharmaceuticals Inc","$23.60","Yes","0.74","$3B (Small)","1,265,910"
"CRBG","Corebridge Financial Inc","$31.07","Yes","1.06","$15B (Mid)","4,868,720"
"CRC","California Resources Corp","$56.92","Yes","1.12","$5B (Small)","784,160"
"CRGY","Crescent Energy Co","$10.23","Yes","1.20","$3B (Small)","5,674,230"
"CRK","Comstock Resources Inc","$19.02","Yes","0.42","$6B (Small)","3,218,620"
"CRNX","Crinetics Pharmaceuticals Inc","$42.70","Yes","0.23","$4B (Small)","1,122,790"
"CRSP","CRISPR Therapeutics AG","$53.07","Yes","1.75","$5B (Small)","1,709,060"
"CRVL","CorVel Corp","$49.20","Yes","1.13","$3B (Small)","361,260"
"CSCO","Cisco Systems Inc","$76.85","Yes","0.87","$304B (Large)","33,517,450"
"CSGP","CoStar Group Inc","$44.99","Yes","0.91","$19B (Mid)","7,995,400"
"CSGS","Csg Systems International Inc","$79.66","Yes","0.88","$2B (Small)","479,820"
"CSTM","Constellium SE","$23.29","Yes","1.48","$3B (Small)","1,698,210"
"CSX","CSX Corp","$40.87","Yes","1.27","$76B (Large)","14,179,860"
"CTRA","Coterra Energy Inc","$31.37","Yes","0.36","$24B (Mid)","15,764,400"
"CTRE","CareTrust REIT Inc","$40.01","Yes","0.76","$9B (Mid)","2,073,230"
"CTSH","Cognizant Technology Solutions Corp","$66.55","Yes","1.00","$32B (Mid)","8,452,460"
"CTVA","Corteva Inc","$75.03","Yes","0.73","$50B (Large)","4,784,060"
"CUBE","CubeSmart","$38.93","Yes","1.11","$9B (Mid)","2,496,550"
"CUBI","Customers Bancorp Inc","$72.73","Yes","1.66","$2B (Small)","503,700"
"CUK","Carnival PLC","$31.56","Yes","2.45","$5B (Small)","3,181,160"
"CUZ","Cousins Properties Inc","$22.46","Yes","1.22","$4B (Small)","2,993,660"
"CVBF","CVB Financial Corp","$20.55","Yes","0.67","$3B (Small)","1,429,710"
"CVE","Cenovus Energy Inc","$21.96","Yes","0.44","$41B (Mid)","14,674,720"
"CVI","CVR Energy Inc","$23.17","Yes","1.12","$2B (Small)","989,770"
"CVLT","Commvault Systems Inc","$87.63","Yes","0.58","$4B (Small)","1,148,570"
"CVS","CVS Health Corp","$78.48","Yes","0.49","$100B (Large)","9,747,330"
"CWAN","Clearwater Analytics Holdings Inc","$23.15","Yes","0.66","$7B (Small)","15,421,960"
"CWK","Cushman & Wakefield Ltd","$12.89","Yes","1.52","$3B (Small)","2,945,750"
"CWT","California Water Service Group","$46.56","Yes","0.63","$3B (Small)","370,600"
"CX","Cemex SAB de CV","$12.57","Yes","1.60","$18B (Mid)","7,976,290"
"CXT","Crane NXT Co","$52.76","Yes","1.16","$3B (Small)","853,280"
"CYTK","Cytokinetics Inc","$66.26","Yes","0.55","$8B (Mid)","1,731,570"
"CZR","Caesars Entertainment Inc","$18.14","Yes","1.99","$4B (Small)","7,461,950"
"D","Dominion Energy Inc","$66.51","Yes","0.68","$57B (Large)","5,763,720"
"DAL","Delta Air Lines Inc","$69.00","Yes","1.32","$45B (Large)","8,958,480"
"DAN","Dana Inc","$33.39","Yes","2.06","$4B (Small)","1,346,080"
"DAR","Darling Ingredients Inc","$50.96","Yes","1.25","$8B (Mid)","2,696,700"
"DB","Deutsche Bank AG","$35.28","Yes","0.94","$67B (Large)","3,387,080"
"DBRG","DigitalBridge Group Inc","$15.41","Yes","1.67","$3B (Small)","4,162,300"
"DBX","Dropbox Inc","$24.53","Yes","0.64","$6B (Small)","4,936,770"
"DD","Dupont De Nemours Inc","$50.22","Yes","1.07","$21B (Mid)","6,234,600"
"DINO","HF Sinclair Corp","$58.53","Yes","0.78","$11B (Mid)","2,288,820"
"DIOD","Diodes Inc","$71.07","Yes","1.59","$3B (Small)","506,990"
"DJT","Trump Media & Technology Group Corp","$10.98","Yes","4.65","$3B (Small)","3,986,250"
"DKNG","Draftkings Inc","$21.76","Yes","1.66","$11B (Mid)","18,076,320"
"DLB","Dolby Laboratories Inc","$66.02","Yes","0.83","$6B (Small)","1,081,040"
"DLO","Dlocal Ltd","$11.97","Yes","1.14","$4B (Small)","1,556,000"
"DNLI","Denali Therapeutics Inc","$18.77","Yes","1.04","$3B (Small)","1,729,100"
"DNOW","DNOW Inc","$16.43","Yes","0.74","$3B (Small)","2,326,950"
"DOC","Healthpeak Properties Inc","$16.70","Yes","1.11","$12B (Mid)","12,381,810"
"DOCN","DigitalOcean Holdings Inc","$68.16","Yes","1.72","$6B (Small)","3,402,810"
"DOCS","Doximity Inc","$25.02","Yes","1.46","$5B (Small)","7,299,580"
"DOCU","DocuSign Inc","$44.82","Yes","1.04","$9B (Mid)","5,647,040"
"DOW","Dow Inc","$32.49","Yes","0.70","$23B (Mid)","16,119,780"
"DOX","Amdocs Ltd","$69.23","Yes","0.44","$7B (Small)","2,037,980"
"DRD","DRDGOLD Ltd","$35.65","Yes","0.44","$3B (Small)","399,800"
"DRS","Leonardo DRS Inc","$38.13","Yes","0.44","$10B (Mid)","1,087,320"
"DRVN","Driven Brands Holdings Inc","$16.84","Yes","1.04","$3B (Small)","1,090,970"
"DSGX","Descartes Systems Group Inc","$65.74","Yes","0.78","$6B (Small)","1,015,070"
"DT","Dynatrace Inc","$37.20","Yes","0.82","$11B (Mid)","9,024,900"
"DVN","Devon Energy Corp","$44.66","Yes","0.60","$28B (Mid)","13,866,710"
"DX","Dynex Capital Inc","$14.05","Yes","0.95","$3B (Small)","6,312,600"
"DXC","DXC Technology Co","$13.39","Yes","1.10","$2B (Small)","3,673,470"
"DXCM","Dexcom Inc","$70.02","Yes","1.51","$27B (Mid)","5,318,610"
"DYN","Dyne Therapeutics Inc","$15.54","Yes","1.34","$3B (Small)","1,832,850"
"E","Eni SpA","$43.45","Yes","0.60","$64B (Large)","278,740"
"EBAY","eBay Inc","$82.38","Yes","1.41","$37B (Mid)","5,881,770"
"EBC","Eastern Bankshares Inc","$21.61","Yes","0.80","$5B (Small)","2,465,380"
"EC","Ecopetrol SA","$11.90","Yes","0.79","$24B (Mid)","3,062,520"
"EDU","New Oriental Education & Technology Group Inc","$58.70","Yes","0.26","$10B (Mid)","1,554,140"
"EE","Excelerate Energy Inc","$41.84","Yes","1.33","$5B (Small)","360,020"
"EEFT","Euronet Worldwide Inc","$67.96","Yes","0.80","$3B (Small)","927,560"
"EGO","Eldorado Gold Corp","$47.37","Yes","0.51","$10B (Mid)","3,727,810"
"EIX","Edison International","$71.46","Yes","0.80","$27B (Mid)","3,401,260"
"ELAN","Elanco Animal Health Inc","$25.13","Yes","1.84","$12B (Mid)","4,546,840"
"ELF","elf Beauty Inc","$81.50","Yes","1.71","$5B (Small)","3,009,310"
"ELS","Equity LifeStyle Properties Inc","$67.82","Yes","0.75","$13B (Mid)","2,163,520"
"EMBJ","Embraer SA","$71.04","Yes","1.56","$13B (Mid)","920,490"
"EMN","Eastman Chemical Co","$80.08","Yes","1.19","$9B (Mid)","2,352,650"
"ENB","Enbridge Inc","$53.88","Yes","0.66","$118B (Large)","5,551,390"
"ENPH","Enphase Energy Inc","$43.49","Yes","1.32","$6B (Small)","12,675,970"
"EOSE","Eos Energy Enterprises Inc","$10.79","Yes","2.22","$3B (Small)","20,775,140"
"EPAC","Enerpac Tool Group Corp","$43.02","Yes","0.95","$2B (Small)","346,240"
"EPD","Enterprise Products Partners LP","$37.21","Yes","0.57","$80B (Large)","6,787,860"
"EPR","EPR Properties","$58.49","Yes","0.96","$4B (Small)","767,870"
"EPRT","Essential Properties Realty Trust Inc","$32.09","Yes","0.98","$7B (Small)","1,524,190"
"EQH","Equitable Holdings Inc","$44.39","Yes","1.10","$13B (Mid)","3,434,660"
"EQNR","Equinor ASA","$28.10","Yes","0.31","$71B (Large)","5,884,970"
"EQR","Equity Residential","$63.86","Yes","0.75","$24B (Mid)","3,499,710"
"EQT","EQT Corp","$58.70","Yes","0.73","$37B (Mid)","8,590,730"
"EQX","Equinox Gold Corp","$15.80","Yes","1.25","$12B (Mid)","11,959,200"
"ERAS","Erasca Inc","$12.00","Yes","1.18","$4B (Small)","4,677,240"
"ERIC","Telefonaktiebolaget LM Ericsson","$11.07","Yes","0.96","$34B (Mid)","7,752,990"
"ES","Eversource Energy","$73.36","Yes","0.78","$28B (Mid)","2,902,230"
"ESI","Element Solutions Inc","$32.36","Yes","1.25","$8B (Mid)","2,760,650"
"ESNT","Essent Group Ltd","$61.42","Yes","0.89","$6B (Small)","587,650"
"ESTA","Establishment Labs Holdings Inc","$73.54","Yes","0.92","$2B (Small)","438,300"
"ESTC","Elastic NV","$61.57","Yes","0.97","$6B (Small)","2,167,800"
"ET","Energy Transfer LP","$18.75","Yes","0.64","$64B (Large)","16,003,730"
"ETSY","ETSY Inc","$45.73","Yes","1.78","$5B (Small)","4,447,130"
"EVRG","Evergy Inc","$82.69","Yes","0.63","$19B (Mid)","2,258,240"
"EW","Edwards Lifesciences Corp","$75.87","Yes","0.95","$44B (Large)","6,014,110"
"EWTX","Edgewise Therapeutics Inc","$30.01","Yes","0.26","$3B (Small)","828,600"
