"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"DLO","Dlocal Ltd","Yes","1,241,840","NASDAQ","$4B (Small)","1.12","4.6%"
"DLR","Digital Realty Trust Inc","Yes","2,397,570","NYS","$52B (Large)","1.13","2.7%"
"DNLI","Denali Therapeutics Inc","Yes","2,099,990","NASDAQ","$3B (Small)","1.05","9.6%"
"DNN","Denison Mines Corp","Yes","41,876,270","NYS","$2B (Small)","1.25","10.0%"
"DOC","Healthpeak Properties Inc","Yes","7,658,330","NYS","$11B (Mid)","1.10","2.9%"
"DOCS","Doximity Inc","Yes","3,786,610","NYS","$8B (Mid)","1.40","2.7%"
"DOMO","Domo Inc","Yes","1,409,220","NASDAQ","$361M (Micro)","1.66","7.3%"
"DOV","Dover Corp","Yes","1,138,190","NYS","$27B (Mid)","1.30","3.6%"
"DRH","Diamondrock Hospitality Co","Yes","2,796,520","NASDAQ","$2B (Micro)","1.03","9.4%"
"DRVN","Driven Brands Holdings Inc","Yes","1,040,580","NASDAQ","$2B (Small)","1.02","4.7%"
"DXC","DXC Technology Co","Yes","2,579,170","NYS","$3B (Small)","1.02","6.3%"
"DXCM","Dexcom Inc","Yes","5,717,630","NASDAQ","$26B (Mid)","1.48","3.4%"
"EB","Eventbrite Inc","Yes","1,642,550","NYS","$435M (Micro)","1.32","2.2%"
"EBAY","eBay Inc","Yes","4,455,610","NASDAQ","$38B (Mid)","1.35","2.9%"
"ECVT","Ecovyst Inc","Yes","1,667,640","NYS","$1B (Micro)","1.19","4.6%"
"EFX","Equifax Inc","Yes","1,654,380","NYS","$27B (Mid)","1.55","3.1%"
"EL","Estee Lauder Companies Inc","Yes","3,808,320","NYS","$39B (Mid)","1.12","2.5%"
"ELAN","Elanco Animal Health Inc","Yes","5,894,690","NYS","$11B (Mid)","1.87","4.5%"
"EMN","Eastman Chemical Co","Yes","1,909,100","NYS","$7B (Small)","1.23","3.6%"
"EMR","Emerson Electric Co","Yes","2,399,040","NYS","$75B (Large)","1.25","2.8%"
"ENTG","Entegris Inc","Yes","2,838,110","NASDAQ","$13B (Mid)","1.30","5.8%"
"EPRT","Essential Properties Realty Trust Inc","Yes","1,716,150","NYS","$6B (Small)","1.01","7.4%"
"EQH","Equitable Holdings Inc","Yes","2,278,870","NYS","$14B (Mid)","1.12","3.0%"
"EQX","Equinox Gold Corp","Yes","10,130,400","NYS","$11B (Mid)","1.25","3.5%"
"ERAS","Erasca Inc","Yes","2,376,320","NASDAQ","$979M (Micro)","1.14","5.7%"
"ESI","Element Solutions Inc","Yes","2,506,180","NYS","$6B (Small)","1.28","4.8%"
"ESRT","Empire State Realty Trust Inc","Yes","1,326,540","NYS","$1B (Micro)","1.35","3.3%"
"ETN","Eaton Corporation PLC","Yes","3,322,850","NYS","$123B (Large)","1.20","1.8%"
"EVLV","Evolv Technologies Holdings Inc","Yes","2,782,910","NASDAQ","$1B (Micro)","1.82","5.3%"
"EVTL","Vertical Aerospace Ltd","Yes","2,835,190","NYS","$548M (Micro)","1.20","4.1%"
"EXAS","Exact Sciences Corp","Yes","4,644,170","NASDAQ","$19B (Mid)","1.40","3.9%"
"EXK","Endeavour Silver Corp","Yes","14,942,790","NYS","$3B (Small)","1.25","6.8%"
"EXPD","Expeditors International of Washington Inc","Yes","1,373,540","NYS","$20B (Mid)","1.13","3.9%"
"EXPE","Expedia Group Inc","Yes","1,959,610","NASDAQ","$35B (Mid)","1.41","5.4%"
"EXPI","eXp World Holdings Inc","Yes","1,099,020","NASDAQ","$2B (Micro)","1.96","7.3%"
"EXR","Extra Space Storage Inc","Yes","1,456,540","NYS","$28B (Mid)","1.27","2.2%"
"EXTR","Extreme Networks Inc","Yes","1,202,780","NASDAQ","$2B (Small)","1.64","6.8%"
"F","Ford Motor Co","Yes","54,650,210","NYS","$54B (Large)","1.62","4.5%"
"FATE","Fate Therapeutics Inc","Yes","1,254,840","NASDAQ","$121M (Micro)","2.22","6.6%"
"FBIN","Fortune Brands Innovations Inc","Yes","1,603,040","NYS","$6B (Small)","1.39","3.8%"
"FCEL","Fuelcell Energy Inc","Yes","3,110,130","NASDAQ","$398M (Micro)","1.05","5.2%"
"FCX","Freeport-McMoRan Inc","Yes","16,344,890","NYS","$71B (Large)","1.44","1.6%"
"FDMT","4D Molecular Therapeutics Inc","Yes","1,141,500","NASDAQ","$496M (Micro)","2.99","9.1%"
"FDX","FedEx Corp","Yes","1,635,760","NYS","$68B (Large)","1.35","2.1%"
"FERG","Ferguson Enterprises Inc","Yes","2,038,220","NYS","$45B (Large)","1.14","2.0%"
"FIGS","Figs Inc","Yes","2,618,270","NYS","$2B (Micro)","1.27","6.4%"
"FIVE","Five Below Inc","Yes","1,297,450","NASDAQ","$10B (Mid)","1.12","5.3%"
"FLEX","Flex Ltd","Yes","9,336,890","NASDAQ","$24B (Mid)","1.23","1.5%"
"FLR","Fluor Corp","Yes","2,723,170","NYS","$7B (Small)","1.35","5.6%"
"FLS","Flowserve Corp","Yes","1,358,040","NYS","$9B (Mid)","1.31","3.5%"
"FLUT","Flutter Entertainment PLC","Yes","2,404,210","NYS","$39B (Mid)","1.15","3.9%"
"FLYW","Flywire Corp","Yes","1,648,790","NASDAQ","$2B (Micro)","1.27","4.4%"
"FND","Floor & Decor Holdings Inc","Yes","2,741,990","NYS","$7B (Small)","1.73","7.9%"
"FNF","Fidelity National Financial Inc","Yes","1,597,130","NYS","$15B (Mid)","1.02","1.3%"
"FOXF","Fox Factory Holding Corp","Yes","1,080,240","NASDAQ","$724M (Micro)","1.44","3.9%"
"FROG","Jfrog Ltd","Yes","2,645,500","NASDAQ","$8B (Mid)","1.12","1.5%"
"FSLR","First Solar Inc","Yes","1,952,490","NASDAQ","$29B (Mid)","1.60","8.7%"
"FTNT","Fortinet Inc","Yes","6,013,430","NASDAQ","$60B (Large)","1.07","2.8%"
"FTV","Fortive Corp","Yes","2,931,060","NYS","$17B (Mid)","1.12","2.5%"
"FUBO","FuboTV Inc","Yes","9,519,450","NYS","$3B (Small)","1.95","5.1%"
"FULC","Fulcrum Therapeutics Inc","Yes","4,407,500","NASDAQ","$810M (Micro)","3.18","6.6%"
"GAP","Gap Inc","Yes","8,185,420","NYS","$10B (Mid)","2.28","5.6%"
"GDRX","GoodRx Holdings Inc","Yes","2,030,640","NASDAQ","$940M (Micro)","1.45","2.1%"
"GE","GE Aerospace","Yes","5,464,560","NYS","$324B (Large)","1.42","1.2%"
"GEN","Gen Digital Inc","Yes","4,891,190","NASDAQ","$17B (Mid)","1.07","3.2%"
"GENI","Genius Sports Ltd","Yes","3,535,870","NYS","$3B (Small)","1.80","7.6%"
