"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"CATY","Cathay General Bancorp","$53.33","Yes","0.84","$4B (Small)"
"CBSH","Commerce Bancshares Inc","$53.60","Yes","0.59","$8B (Mid)"
"CBT","Cabot Corp","$76.19","Yes","0.85","$4B (Small)"
"CBU","Community Financial System Inc","$66.34","Yes","0.79","$3B (Small)"
"CC","Chemours Co","$20.52","Yes","1.55","$3B (Small)"
"CCL","Carnival Corp","$31.77","Yes","2.41","$39B (Mid)"
"CCS","Century Communities Inc","$74.84","Yes","1.51","$2B (Small)"
"CCU","Compania Cervecerias Unidas SA","$14.54","Yes","0.51","$3B (Small)"
"CDE","Coeur Mining Inc","$22.42","Yes","1.22","$14B (Mid)"
"CDP","COPT Defense Properties","$31.54","Yes","0.87","$4B (Small)"
"CE","Celanese Corp","$58.85","Yes","1.01","$6B (Small)"
"CECO","CECO Environmental Corp","$79.14","Yes","1.36","$3B (Small)"
"CELH","Celsius Holdings Inc","$44.39","Yes","0.92","$11B (Mid)"
"CENX","Century Aluminum Co","$46.04","Yes","2.17","$4B (Small)"
"CEPU","Central Puerto SA","$15.55","Yes","1.14","$2B (Small)"
"CFG","Citizens Financial Group Inc","$65.10","Yes","1.06","$28B (Mid)"
"CFLT","Confluent Inc","$30.56","Yes","0.95","$11B (Mid)"
"CG","Carlyle Group Inc","$54.49","Yes","2.05","$20B (Mid)"
"CGNX","Cognex Corp","$58.79","Yes","1.40","$10B (Mid)"
"CHDN","Churchill Downs Inc","$89.24","Yes","0.65","$6B (Small)"
"CHEF","Chefs' Warehouse Inc","$68.44","Yes","1.26","$3B (Small)"
"CHT","Chunghwa Telecom Co Ltd","$42.72","Yes","0.30","$33B (Mid)"
"CHWY","Chewy Inc","$24.23","Yes","1.62","$10B (Mid)"
"CIB","Grupo Cibest SA","$77.00","Yes","0.90","$9B (Mid)"
"CIFR","Cipher Mining Inc","$16.42","Yes","2.96","$6B (Small)"
"CLBT","Cellebrite DI Ltd","$14.64","Yes","1.29","$4B (Small)"
"CLF","Cleveland-Cliffs Inc","$10.38","Yes","2.00","$6B (Small)"
"CLMT","Calumet Inc","$28.61","Yes","1.18","$2B (Small)"
"CLSK","CleanSpark Inc","$9.31","Yes","3.53","$2B (Small)"
"CMC","Commercial Metals Co","$79.64","Yes","1.44","$9B (Mid)"
