"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"LRCX","Lam Research Corp","Yes","10,142,780","NASDAQ","$216B (Large)","1.77"
"LSCC","Lattice Semiconductor Corp","Yes","1,826,120","NASDAQ","$10B (Mid)","1.71"
"LUMN","Lumen Technologies Inc","Yes","12,359,450","NYS","$8B (Mid)","1.47"
"LUV","Southwest Airlines Co","Yes","15,081,900","NYS","$21B (Mid)","1.13"
"LYFT","Lyft Inc","Yes","13,528,790","NASDAQ","$8B (Mid)","1.94"
"LYV","Live Nation Entertainment Inc","Yes","2,974,830","NYS","$33B (Mid)","1.19"
"MAR","Marriott International Inc","Yes","1,855,230","NASDAQ","$83B (Large)","1.15"
"MAS","Masco Corp","Yes","2,777,840","NYS","$13B (Mid)","1.27"
"MCHP","Microchip Technology Inc","Yes","8,650,400","NASDAQ","$35B (Mid)","1.42"
"MDB","MongoDB Inc","Yes","1,699,870","NASDAQ","$35B (Mid)","1.35"
"META","Meta Platforms Inc","Yes","15,706,750","NASDAQ","$2T (Large)","1.28"
"MGA","Magna International Inc","Yes","1,591,660","NYS","$16B (Mid)","1.46"
"MGM","MGM Resorts International","Yes","4,286,750","NYS","$10B (Mid)","1.45"
"MMM","3M Co","Yes","2,754,910","NYS","$86B (Large)","1.08"
"MP","MP Materials Corp","Yes","6,125,230","NYS","$10B (Mid)","1.64"
"MRNA","Moderna Inc","Yes","10,927,350","NASDAQ","$13B (Mid)","1.15"
"MRVL","Marvell Technology Inc","Yes","19,756,350","NASDAQ","$71B (Large)","1.95"
"MS","Morgan Stanley","Yes","6,110,650","NYS","$282B (Large)","1.20"
"MSFT","Microsoft Corp","Yes","23,847,820","NASDAQ","$4T (Large)","1.07"
"MSI","Motorola Solutions Inc","Yes","1,669,740","NYS","$62B (Large)","1.01"
"MSTR","Strategy Inc","Yes","20,113,590","NASDAQ","$47B (Large)","3.43"
"MT","ArcelorMittal SA","Yes","1,364,360","NYS","$34B (Mid)","1.51"
"MTCH","Match Group Inc","Yes","3,127,600","NASDAQ","$8B (Mid)","1.33"
"MTSI","MACOM Technology Solutions Holdings Inc","Yes","1,199,720","NASDAQ","$13B (Mid)","1.43"
"MU","Micron Technology Inc","Yes","28,251,220","NASDAQ","$299B (Large)","1.51"
"NCLH","Norwegian Cruise Line Holdings Ltd","Yes","20,327,950","NYS","$10B (Mid)","2.06"
"NDAQ","Nasdaq Inc","Yes","4,121,300","NASDAQ","$54B (Large)","1.02"
"NET","Cloudflare Inc","Yes","2,053,090","NYS","$69B (Large)","1.97"
"NFLX","Netflix Inc","Yes","61,541,580","NASDAQ","$431B (Large)","1.72"
"NIO","NIO Inc","Yes","30,787,220","NYS","$12B (Mid)","1.07"
"NKE","Nike Inc","Yes","16,489,000","NYS","$87B (Large)","1.27"
"NLY","Annaly Capital Management Inc","Yes","6,810,190","NYS","$16B (Mid)","1.30"
"NRG","NRG Energy Inc","Yes","2,071,670","NYS","$30B (Mid)","1.25"
"NSC","Norfolk Southern Corp","Yes","1,530,320","NYS","$65B (Large)","1.32"
"NTAP","NetApp Inc","Yes","1,741,910","NASDAQ","$22B (Mid)","1.37"
"NTRA","Natera Inc","Yes","1,283,520","NASDAQ","$32B (Mid)","1.62"
"NU","Nu Holdings Ltd","Yes","41,401,930","NYS","$79B (Large)","1.09"
"NUE","Nucor Corp","Yes","1,604,040","NYS","$36B (Mid)","1.88"
"NVDA","NVIDIA Corp","Yes","175,450,100","NASDAQ","$4T (Large)","2.32"
